source,feature,metabolite,labeling,sample_name,value,sample
MP4A_PDX_P3,CITRATE_M2,CITRATE,M2,MP4aP3_AB0219_SQ1_1h,0.111800005695646,PDX
MP4A_PDX_P3,3PG_M3,3PG,M3,MP4aP3_AB0219_SQ1_1h,0.113843235222666,PDX
MP4A_PDX_P3,GLUCOSE_M6,GLUCOSE,M6,MP4aP3_AB0219_SQ1_1h,0.2637457419633,PDX
MP4A_PDX_P3,PYRUVATE_M3,PYRUVATE,M3,MP4aP3_AB0219_SQ2_1h,0.140355267661111,PDX
MP4A_PDX_P3,LACTATE_M3,LACTATE,M3,MP4aP3_AB0219_SQ2_1h,0.126942130044004,PDX
MP4A_PDX_P3,ALANINE_M3,ALANINE,M3,MP4aP3_AB0219_SQ2_1h,0.032430963668709,PDX
MP4A_PDX_P3,SUCCINATE_M2,SUCCINATE,M2,MP4aP3_AB0219_SQ2_1h,0.0064842416828618,PDX
MP4A_PDX_P3,FUMARATE_M2,FUMARATE,M2,MP4aP3_AB0219_SQ2_1h,0.0149418129859411,PDX
MP4A_PDX_P3,MALATE_M2,MALATE,M2,MP4aP3_AB0219_SQ2_1h,0.0164241374092118,PDX
MP4A_PDX_P3,ASPARTATE_M2,ASPARTATE,M2,MP4aP3_AB0219_SQ2_1h,0.0106810261879218,PDX
MP4A_PDX_P3,GLUTAMATE_M2,GLUTAMATE,M2,MP4aP3_AB0219_SQ2_1h,0.0304918294412854,PDX
MP4A_PDX_P3,CITRATE_M2,CITRATE,M2,MP4aP3_AB0219_SQ2_1h,0.0841448516008028,PDX
MP4A_PDX_P3,3PG_M3,3PG,M3,MP4aP3_AB0219_SQ2_1h,0.0924005698533153,PDX
MP4A_PDX_P3,GLUCOSE_M6,GLUCOSE,M6,MP4aP3_AB0219_SQ2_1h,0.257066939177618,PDX
MP4A_PDX_P3,PYRUVATE_M3,PYRUVATE,M3,MP4aP3_AB0219_SQ3_1h,0.221212040497026,PDX
MP4A_PDX_P3,LACTATE_M3,LACTATE,M3,MP4aP3_AB0219_SQ3_1h,0.222726973383934,PDX
MP4A_PDX_P3,ALANINE_M3,ALANINE,M3,MP4aP3_AB0219_SQ3_1h,0.0702158755442177,PDX
MP4A_PDX_P3,SUCCINATE_M2,SUCCINATE,M2,MP4aP3_AB0219_SQ3_1h,0.0265646678012855,PDX
MP4A_PDX_P3,FUMARATE_M2,FUMARATE,M2,MP4aP3_AB0219_SQ3_1h,0.0400400542113527,PDX
MP4A_PDX_P3,MALATE_M2,MALATE,M2,MP4aP3_AB0219_SQ3_1h,0.0372074719005836,PDX
MP4A_PDX_P3,ASPARTATE_M2,ASPARTATE,M2,MP4aP3_AB0219_SQ3_1h,0.0319518200607056,PDX
MP4A_PDX_P3,GLUTAMATE_M2,GLUTAMATE,M2,MP4aP3_AB0219_SQ3_1h,0.0715648676460219,PDX
MP4A_PDX_P3,CITRATE_M2,CITRATE,M2,MP4aP3_AB0219_SQ3_1h,0.096358208687381,PDX
MP4A_PDX_P3,3PG_M3,3PG,M3,MP4aP3_AB0219_SQ3_1h,0.161531290709309,PDX
MP4A_PDX_P3,GLUCOSE_M6,GLUCOSE,M6,MP4aP3_AB0219_SQ3_1h,0.304531481824161,PDX
MP4A_PDX_P6_3h,PYRUVATE_M3,PYRUVATE,M3,MP4A1_AB4116_TUMOR.A,0.178840140305419,PDX
MP4A_PDX_P6_3h,LACTATE_M3,LACTATE,M3,MP4A1_AB4116_TUMOR.A,0.202242476710565,PDX
MP4A_PDX_P6_3h,ALANINE_M3,ALANINE,M3,MP4A1_AB4116_TUMOR.A,0.1234646193417,PDX
MP4A_PDX_P6_3h,SUCCINATE_M2,SUCCINATE,M2,MP4A1_AB4116_TUMOR.A,0.0503578765059955,PDX
MP4A_PDX_P6_3h,FUMARATE_M2,FUMARATE,M2,MP4A1_AB4116_TUMOR.A,0.0634315369048604,PDX
MP4A_PDX_P6_3h,MALATE_M2,MALATE,M2,MP4A1_AB4116_TUMOR.A,0.0441671040441016,PDX
MP4A_PDX_P6_3h,ASPARTATE_M2,ASPARTATE,M2,MP4A1_AB4116_TUMOR.A,0.0413631704674591,PDX
MP4A_PDX_P6_3h,GLUTAMATE_M2,GLUTAMATE,M2,MP4A1_AB4116_TUMOR.A,0.0747080801357334,PDX
MP4A_PDX_P6_3h,CITRATE_M2,CITRATE,M2,MP4A1_AB4116_TUMOR.A,0.152261278177375,PDX
MP4A_PDX_P6_3h,3PG_M3,3PG,M3,MP4A1_AB4116_TUMOR.A,0,PDX
MP4A_PDX_P6_3h,GLUCOSE_M6,GLUCOSE,M6,MP4A1_AB4116_TUMOR.A,0.248145505701167,PDX
MP4A_PDX_P6_3h,PYRUVATE_M3,PYRUVATE,M3,MP4A1_AB4116_TUMOR.B,0.179385238214261,PDX
MP4A_PDX_P6_3h,LACTATE_M3,LACTATE,M3,MP4A1_AB4116_TUMOR.B,0.203126975042377,PDX
MP4A_PDX_P6_3h,ALANINE_M3,ALANINE,M3,MP4A1_AB4116_TUMOR.B,0.124014507063841,PDX
